epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5609.96,0.52405,0.82969,0.34774,0.99469,0.9826,0.96795,0.98263,0.78088,0.97609,0.96154,0.98034,0.78225,0.74003,1.24287,0.36298,1.17026,0.000944,0.000944,0.000944
82,5676.88,0.50544,0.80626,0.34076,0.98753,0.94997,0.97436,0.97568,0.78938,0.93747,0.96154,0.95392,0.78107,0.70904,1.22735,0.36975,1.13772,0.0009308,0.0009308,0.0009308
83,5744.36,0.49174,0.79057,0.3308,0.9841,0.95608,0.97436,0.99015,0.79534,0.93721,0.95513,0.96516,0.78023,0.71692,1.27756,0.38593,1.14473,0.0009176,0.0009176,0.0009176
84,5812.45,0.49524,0.80846,0.33449,0.98133,0.9776,0.96154,0.97146,0.80247,0.9776,0.96154,0.97131,0.79249,0.70917,1.25951,0.37804,1.10862,0.0009044,0.0009044,0.0009044
85,5882.12,0.49788,0.83349,0.32899,0.98079,0.95909,0.95513,0.97913,0.79372,0.95909,0.95513,0.97512,0.79663,0.69546,1.25904,0.38571,1.10226,0.0008912,0.0008912,0.0008912
86,5954.18,0.48802,0.78558,0.32754,0.97646,0.96793,0.96742,0.98257,0.80034,0.95381,0.94872,0.96014,0.7804,0.72776,1.29048,0.37737,1.12716,0.000878,0.000878,0.000878
87,6024.75,0.48085,0.78854,0.32321,0.97729,0.94926,0.95945,0.97694,0.81088,0.94926,0.95945,0.97602,0.80519,0.69729,1.28562,0.38032,1.0937,0.0008648,0.0008648,0.0008648
88,6092.64,0.48129,0.79498,0.32908,0.97184,0.97226,0.96795,0.98531,0.80316,0.95913,0.95513,0.9649,0.78938,0.68978,1.22796,0.38287,1.08567,0.0008516,0.0008516,0.0008516
89,6160.67,0.48012,0.76526,0.33124,0.97496,0.98404,0.96154,0.98332,0.80044,0.97734,0.95513,0.98147,0.78691,0.7285,1.29409,0.36604,1.15192,0.0008384,0.0008384,0.0008384
90,6228.55,0.48358,0.78031,0.32676,0.97056,0.96776,0.98718,0.98647,0.77047,0.95438,0.94231,0.93647,0.76156,0.80038,1.45983,0.38261,1.23911,0.0008252,0.0008252,0.0008252
91,6296.66,0.48759,0.79225,0.32569,0.97523,0.97245,0.96154,0.98113,0.76691,0.93318,0.92308,0.94353,0.75459,0.81536,1.39604,0.41719,1.2244,0.000812,0.000812,0.000812
92,6364.4,0.47775,0.77196,0.3262,0.97136,0.93745,0.96073,0.96964,0.77778,0.93789,0.94872,0.95314,0.77659,0.72956,1.29119,0.37813,1.11599,0.0007988,0.0007988,0.0007988
93,6431.85,0.47924,0.76085,0.32692,0.97047,0.96688,0.96154,0.98005,0.81362,0.96036,0.95513,0.96844,0.79738,0.69698,1.27169,0.38237,1.07321,0.0007856,0.0007856,0.0007856
